"source","key","name","nameKana","description","descriptionKana"
"monsters_dark_egg","EGG","たまご","たまご","これから何が生まれるかな？ワクワクするね！","これからなにがうまれるかな？ワクワクするね！"
"monsters_light_egg","EGG","たまご","たまご","これから何が生まれるかな？ワクワクするね！","これからなにがうまれるかな？ワクワクするね！"
"buddha_egg","EGG","たまご","たまご","ほのかに金色の光をまとった、とくべつなたまご。中から何が生まれるのかな？","ほのかにきんいろのひかりをまとった、とくべつなたまご。なかからなにがうまれるのかな？"
"monsters_dark_table","STUDY","ラーン","ラーン","大きな眼鏡をかけ、常に分厚い本を抱えた小さな浮遊霊。言葉は「ホウ？」「ナルホド」と理屈っぽい。まだ魔力は弱く、ペンを1本浮かせるのが精一杯。","おおきなめがねをかけ、つねにぶあついほんをかかえたちいさなふゆうれい。ことばは「ホウ？」「ナルホド」とりくつっぽい。まだまりょくはよわく、ペンを1ぽんうかせるのがせいいっぱい。"
"monsters_dark_table","STAMINA","ストーン","ストーン","岩に手足が生えたような、どっしりしたモンスター。動きはゆっくりだが、我慢強い。いつも「フンヌッ！」と気合を入れている。","いわにてあしがはえたような、どっしりしたモンスター。うごきはゆっくりだが、がまんづよい。いつも「フンヌッ！」ときあいをいれている。"
"monsters_dark_table","LIFE","ヘルプ","ヘルプ","いつもニコニコ、元気に二足歩行する小さな妖精。手先が器用で、靴を揃えたり挨拶をするのが得意。世話焼きで、困っている人を放っておけない。","いつもニコニコ、げんきににそくほこうするちいさなようせい。てさきがきような、くつをそろえたりあいさつをするのがとくい。せわやきで、こまっているひとをほうっておけない。"
"monsters_dark_table","STUDY_STUDY","ライブラ","ライブラ","ラーンが本と合体し、背中に本棚を背負った姿に。浮遊する本の数が増え、高速でページをめくりながら知識を吸収する。少し気難しく、静寂を好む。","ラーンがほんとがったいし、せなかにほんだなをせおったすがたに。ふゆうするほんのかずがふえ、こうそくでページをめくりながらちしきをきゅうしゅうする。すこしきむずかしく、せいじゃくをこのむ。"
"monsters_dark_table","STUDY_STAMINA","アーマード","アーマード","勉系の知能を持ちつつ、体力をつけてガッチリした金属の体を得た。魔力を動力源とするゴーレム。冷静な判断力で、重い魔導書を盾のように扱う。","べんけいのちのうをもちつつ、たいりょくをつけてガッチリしたきんぞくのからだをえた。まりょくをどうりょくげんとするゴーレム。れいせいなはんだんりょくで、おもいまどうしょをたてのようにあつかう。"
"monsters_dark_table","STUDY_LIFE","クリン","クリン","ラーンの「生活を便利にしたい」という気づきから進化。浮遊するハタキや雑巾を魔力で操る。効率的な掃除ルートを計算するのが大好き。","ラーンの「せいかつをべんりにしたい」というきづきからしんか。ふゆうするハタキやぞうきんをまりょくであやつる。こうりつてきなそうじルートをけいさんするのがだいすき。"
"monsters_dark_table","STAMINA_STUDY","グラビド","グラビド","ストーンが知識に目覚めた。自分の体の重さを不思議に思い、重力を操る術を少しだけ覚えた。体の周囲に小さな岩が浮いている。","ストーンがちしきにめざめた。じぶんのからだのおもさをふしぎにおもい、じゅうりょくをあやつるすべをすこしだけおぼえた。からだのしゅういにちいさないわがういている。"
"monsters_dark_table","STAMINA_STAMINA","ブロック","ブロック","ストーンが体力をさらに鍛え、より大きく硬い岩石の体になった。動くことは少ないが、そこにいるだけで安心感を与える、頼り甲斐のある背中。","ストーンがたいりょくをさらにきたえ、よりおおきくかたいがんせきのからだになった。うごくことはすくないが、そこにいるだけであんしんかんをあたえる、たよりがいのあるせなか。"
"monsters_dark_table","STAMINA_LIFE","わっしょい","わっしょい","体力を、みんなを楽しませるために使う。笑顔がトレードマーク。腰にハッピを巻き、重いものを担ぐのが大好きで、自然と周囲に人が集まる。","たいりょくを、みんなをたのしませるためにつかう。えがおがトレードマーク。こしにハッピをまき、おもいものをかつぐのがだいすきで、しぜんとしゅういにひとがあつまる。"
"monsters_dark_table","LIFE_STUDY","チックタック","チックタック","ヘルプが知識に目覚め、時間を守ることの大切さを知った姿。眼鏡をかけ、多くの手で時計を修理・管理する。生活リズムにうるさいアドバイザー。","ヘルプがちしきにめざめ、じかんをまもることのたいせつさをしったすがた。めがねをかけ、おおくのてでとけいをしゅうり・かんりする。せいかつリズムにうるさいアドバイザー。"
"monsters_dark_table","LIFE_STAMINA","キャリア","キャリア","ヘルプが体力をつけ、重い荷物を運べるようになった。丈夫な足腰と器用な手を持ち、文句を言わず笑顔で荷物を運ぶ働き者。","ヘルプがたいりょくをつけ、おもいにもつをはこべるようになった。じょうぶなあしこしときようなてをもち、もんくをいわずえがおでにもつをはこぶはたらきもの。"
"monsters_dark_table","LIFE_LIFE","マザー","マザー","ヘルプが生活力をさらに高め、家事のプロになった。エプロン姿で、たくさんの「手」で同時に料理・洗濯・掃除をこなす。温かい笑顔でみんなを包み込む。","ヘルプがせいかつりょくをさらにたかめ、かじのプロになった。エプロンすがたで、たくさんの「て」でどうじにりょうり・せんたく・そうじをこなす。あたたかいえがおでみんなをつつみこむ。"
"monsters_dark_table","STUDY_STUDY_STUDY","ウィズダム","ウィズダム","巨大な魔導書の上に座し、無数の魔法のペンが周囲を公転する。世界の真理を解き明かした賢者。常に目を閉じ、数式をブツブツと呟いている。","きょだいなまどうしょのうえにざし、むすうのまほうのペンがしゅういをこうてんする。せかいのしんりをときあかしたけんじゃ。つねにめをとじ、すうしきをブツブツとつぶやいている。"
"monsters_dark_table","STUDY_STUDY_STAMINA","タクティクス","タクティクス","知識を戦闘に特化させた。クリスタルの体に戦術図が浮かび上がる。敵の動きを完全に予知し、最小限の動きで最大効率の攻撃を繰り出す。","ちしきをせんとうにとっかさせた。クリスタルのからだにせんじゅつずがうかびあがる。てきのうごきをかんぜんによちし、さいしょうげんのうごきでさいだいこうりつのこうげきをくりだす。"
"monsters_dark_table","STUDY_STUDY_LIFE","エジソン","エジソン","「全自動生活」を夢見る、全身ガジェットだらけのロボット。子供の宿題を手伝う全自動お助けメカを作り、理屈っぽいお喋りは相変わらず。","「ぜんじどうせいかつ」をゆめみる、ぜんしんガジェットだらけのロボット。こどものしゅくだいをてつだうぜんじどうおたすけメカをつくり、りくつっぽいおしゃべりはあいかわらず。"
