分類,発言者,格言
現実,トーマス・エジソン,私は失敗したことがない。ただ、1万通りのうまく行かない方法を見つけただけだ。
現実,ウォルト・ディズニー,夢を見ることができれば、それは実現できる。
現実,スティーブ・ジョブズ,偉大な仕事をする唯一の方法は、自分のしていることを愛することだ。
現実,ネルソン・マンデラ,何事も、達成するまでは不可能に見えるものである。
現実,ヘンリー・フォード,障害とは、目標から目をそらしたときに現れる、恐ろしいもののことだ。
現実,アルベルト・アインシュタイン,挫折を経験したことがない者は、何も新しい事に挑戦したことがないということだ。
現実,マハトマ・ガンジー,明日死ぬかのように生きよ。永遠に生きるかのように学べ。
現実,フリードリヒ・ニーチェ,自分を破壊する一歩手前の負荷が、自分を強くしてくれる。
現実,マイケル・ジョーダン,私は何度も何度も失敗した。だから成功したのだ。
現実,マザー・テレサ,思考に気をつけなさい、それはいつか言葉になるから。
現実,岡本太郎,壁は、自分自身だ。
現実,松下幸之助,失敗したところでやめてしまうから失敗になる。成功するまで続けたら、それは成功になる。
現実,本田宗一郎,成功は99%の失敗に支えられた1%だ。
現実,渋沢栄一,夢なき者は理想なし。理想なき者は信念なし。信念なき者は計画なし。
現実,イーロン・マスク,何かが十分に重要であれば、たとえ確率が自分に不利であっても、それを実行するべきだ。
現実,エイブラハム・リンカーン,あなたが転んでしまったことに関心はない。そこからどう立ち上がるかに関心があるのだ。
現実,ウィンストン・チャーチル,決して、決して、決して、決して屈するな。
現実,ヘレン・ケラー,ひとつの幸せのドアが閉じる時、もうひとつのドアが開く。
現実,ブルース・リー,限界などない。停滞期があるだけだ。そこに留まってはいけない。それを超えて行くのだ。
現実,モハメド・アリ,リスクを取る勇気がない者は、人生で何も達成できない。
現実,ペレ,成功は偶然ではない。勤勉、忍耐、練習、研究、謙遜、そして何よりも愛情だ。
現実,ベーブ・ルース,諦めない奴を打ち負かすことはできない。
現実,イチロー,小さいことを重ねることが、とんでもないところに行くただひとつの道だ。
現実,羽生善治,才能とは、情熱を持続させる能力のこと。
現実,ビル・ゲイツ,成功を祝うのはいいが、失敗の教訓に注意を払う方がもっと重要だ。
現実,マーク・ザッカーバーグ,最大のリスクは、リスクを取らないことだ。
現実,ジェフ・ベゾス,批判されたくないなら、新しいことは何もやらないことだ。
現実,孫正義,言い訳をしているうちは、絶対に前に進めない。
現実,ウィリアム・シェイクスピア,運命は星が決めるのではない、我々自身が決めるのだ。
現実,マーク・トウェイン,やったことへの後悔は日々小さくなるが、やらなかったことへの後悔は日々大きくなる。
現実,アーネスト・ヘミングウェイ,人間は負けるように造られてはいない。殺されることはあっても、負けることはない。
現実,マリー・キュリー,人生において恐れるべきものは何もない。ただ理解すべきものがあるだけだ。
現実,アイザック・ニュートン,私が遠くを見ることができたのは、巨人たちの肩に乗っていたからだ。
現実,ソクラテス,世界を動かそうと思うなら、まず自分自身を動かせ。
現実,プラトン,始まりは、すべての仕事の中で最も重要な部分である。
現実,アリストテレス,私たちは、繰り返し行っていることの結晶である。つまり優秀さとは行動ではなく習慣なのだ。
現実,孔子,止まりさえしなければ、どんなにゆっくり進んでも構わない。
現実,老子,千里の道も一歩から。
現実,福沢諭吉,進まざる者は必ず退き、退かざる者は必ず進む。
現実,坂本龍馬,世の人は我を何とも言わば言え。我が成す事は我のみぞ知る。
現実,吉田松陰,夢なき者に理想なし、理想なき者に計画なし、計画なき者に実行なし、実行なき者に成功なし。
