分類,発言者,格言
{現実:げんじつ},トーマス・エジソン,{私:わたし}は{失敗:しっぱい}したことがない。ただ、1{万:まん}{通:とお}りのうまく{行:い}かない{方法:ほうほう}を{見:み}つけただけだ。
{現実:げんじつ},ウォルト・ディズニー,{夢:ゆめ}を{見:み}ることができれば、それは{実現:じつげん}できる。
{現実:げんじつ},スティーブ・ジョブズ,{偉大:いだい}な{仕事:しごと}をする{唯一:ゆいいつ}の{方法:ほうほう}は、{自分:じぶん}のしていることを{愛:あい}することだ。
{現実:げんじつ},ネルソン・マンデラ,{何事:なにごと}も、{達成:たっせい}するまでは{不可能:ふかのう}に{見:み}えるものである。
{現実:げんじつ},ヘンリー・フォード,{障害:しょうがい}とは、{目標:もくひょう}から{目:め}をそらしたときに{現:あらわ}れる、{恐:おそ}ろしいもののことだ。
{現実:げんじつ},アルベルト・アインシュタイン,{失敗:しっぱい}を{経験:けいけん}したことがない{者:もの}は、{何:なに}も{新:あたら}しい{事:こと}に{挑戦:ちょうせん}したことがないということだ。
{現実:げんじつ},マハトマ・ガンジー,{明日:あした}{死:し}ぬかのように{生:い}きよ。{永遠:えいえん}に{生:い}きるかのように{学:まな}べ。
{現実:げんじつ},フリードリヒ・ニーチェ,{自分:じぶん}を{破壊:はかい}する{一歩:いっぽ}{手前:てまえ}の{負荷:ふか}が、{自分:じぶん}を{強:つよ}くしてくれる。
{現実:げんじつ},マイケル・ジョーダン,{私:わたし}は{何度:なんど}も{何度:なんど}も{失敗:しっぱい}した。だから{成功:せいこう}したのだ。
{現実:げんじつ},マザー・テレサ,{思考:しこう}に{気:き}をつけなさい、それはいつか{言葉:ことば}になるから。
{現実:げんじつ},{岡本太郎:おかもとたろう},{壁:かべ}は、{自分自身:じぶんじしん}だ。
{現実:げんじつ},{松下幸之助:まつしたこうのすけ},{失敗:しっぱい}したところでやめてしまうから{失敗:しっぱい}になる。{成功:せいこう}するまで{続:つづ}けたら、それは{成功:せいこう}になる。
{現実:げんじつ},{本田宗一郎:ほんだそういちろう},{成功:せいこう}は99%の{失敗:しっぱい}に{支:ささ}えられた1%だ。
{現実:げんじつ},{渋沢栄一:しぶさわえいいち},{夢:ゆめ}なき{者:もの}は{理想:りそう}なし。{理想:りそう}なき{者:もの}は{信念:しんねん}なし。{信念:しんねん}なき{者:もの}は{計画:けいかく}なし。
{現実:げんじつ},イーロン・マスク,{何:なに}かが{十分:じゅうぶん}に{重要:じゅうよう}であれば、たとえ{確率:かくりつ}が{自分:じぶん}に{不利:ふり}であっても、それを{実行:じっこう}するべきだ。
{現実:げんじつ},エイブラハム・リンカーン,あなたが{転:ころ}んでしまったことに{関心:かんしん}はない。そこからどう{立:た}ち{上:あ}がるかに{関心:かんしん}があるのだ。
{現実:げんじつ},ウィンストン・チャーチル,{決:けっ}して、{決:けっ}して、{決:けっ}して、{決:けっ}して{屈:くっ}するな。
{現実:げんじつ},ヘレン・ケラー,ひとつの{幸:しあわ}せのドアが{閉:と}じる{時:とき}、もうひとつのドアが{開:ひら}く。
{現実:げんじつ},ブルース・リー,{限界:げんかい}などない。{停滞期:ていたいき}があるだけだ。そこに{留:とど}まってはいけない。それを{超:こ}えて{行:い}くのだ。
{現実:げんじつ},モハメド・アリ,リスクを{取:と}る{勇気:ゆうき}がない{者:もの}は、{人生:じんせい}で{何:なに}も{達成:たっせい}できない。
{現実:げんじつ},ペレ,{成功:せいこう}は{偶然:ぐうぜん}ではない。{勤勉:きんべん}、{忍耐:にんたい}、{練習:れんしゅう}、{研究:けんきゅう}、{謙遜:けんそん}、そして{何:なに}よりも{愛情:あいじょう}だ。
{現実:げんじつ},ベーブ・ルース,{諦:あきら}めない{奴:やつ}を{打:う}ち{負:ま}かすことはできない。
{現実:げんじつ},イチロー,{小:ちい}さいことを{重:かさ}ねることが、とんでもないところに{行:い}くただひとつの{道:みち}だ。
{現実:げんじつ},{羽生善治:はぶよしはる},{才能:さいのう}とは、{情熱:じょうねつ}を{持続:じぞく}させる{能力:のうりょく}のこと。
{現実:げんじつ},ビル・ゲイツ,{成功:せいこう}を{祝:いわ}うのはいいが、{失敗:しっぱい}の{教訓:きょうくん}に{注意:ちゅうい}を{払:はら}う{方:ほう}がもっと{重要:じゅうよう}だ。
{現実:げんじつ},マーク・ザッカーバーグ,{最大:さいだい}のリスクは、リスクを{取:と}らないことだ。
{現実:げんじつ},ジェフ・ベゾス,{批判:ひはん}されたくないなら、{新:あたら}しいことは{何:なに}もやらないことだ。
{現実:げんじつ},{孫正義:そんまさよし},{言:い}い{訳:わけ}をしているうちは、{絶対:ぜったい}に{前:まえ}に{進:すす}めない。
{現実:げんじつ},ウィリアム・シェイクスピア,{運命:うんめい}は{星:ほし}が{決:き}めるのではない、{我々自身:われわれじしん}が{決:き}めるのだ。
{現実:げんじつ},マーク・トウェイン,やったことへの{後悔:こうかい}は{日々:ひび}{小:ちい}さくなるが、やらなかったことへの{後悔:こうかい}は{日々:ひび}{大:おお}きくなる。
{現実:げんじつ},アーネスト・ヘミングウェイ,{人間:にんげん}は{負:ま}けるように{造:つく}られてはいない。{殺:ころ}されることはあっても、{負:ま}けることはない。
{現実:げんじつ},マリー・キュリー,{人生:じんせい}において{恐:おそ}れるべきものは{何:なに}もない。ただ{理解:りかい}すべきものがあるだけだ。
{現実:げんじつ},アイザック・ニュートン,{私:わたし}が{遠:とお}くを{見:み}ることができたのは、{巨人:きょじん}たちの{肩:かた}に{乗:の}っていたからだ。
{現実:げんじつ},ソクラテス,{世界:せかい}を{動:うご}かそうと{思:おも}うなら、まず{自分自身:じぶんじしん}を{動:うご}かせ。
{現実:げんじつ},プラトン,{始:はじ}まりは、すべての{仕事:しごと}の{中:なか}で{最:もっと}も{重要:じゅうよう}な{部分:ぶぶん}である。
{現実:げんじつ},アリストテレス,{私:わたし}たちは、{繰:く}り{返:かえ}し{行:おこな}っていることの{結晶:けっしょう}である。つまり{優秀:ゆうしゅう}さとは{行動:こうどう}ではなく{習慣:しゅうかん}なのだ。
{現実:げんじつ},{孔子:こうし},{止:と}まりさえしなければ、どんなにゆっくり{進:すす}んでも{構:かま}わない。
