分類,名前,名前_仮名,格言,格言_仮名
現実,トーマス・エジソン,トーマス・エジソン,私は失敗したことがない。ただ、1万通りのうまく行かない方法を見つけただけだ。,わたしはしっぱいしたことがない。ただ、1まんとおりのうまくいかないほうほうをみつけただけだ。
現実,ウォルト・ディズニー,ウォルト・ディズニー,夢を見ることができれば、それは実現できる。,ゆめをみることができれば、それはじつげんできる。
現実,スティーブ・ジョブズ,スティーブ・ジョブズ,偉大な仕事をする唯一の方法は、自分のしていることを愛することだ。,いだいなしごとをするゆいいつのほうほうは、じぶんのしていることをあいすることだ。
現実,ネルソン・マンデラ,ネルソン・マンデラ,何事も、達成するまでは不可能に見えるものである。,なにごとも、たっせいするまではふかのうにみえるものである。
現実,ヘンリー・フォード,ヘンリー・フォード,障害とは、目標から目をそらしたときに現れる、恐ろしいもののことだ。,しょうがいとは、もくひょうからめをそらしたときにあらわれる、おそろしいもののことだ。
現実,アルベルト・アインシュタイン,アルベルト・アインシュタイン,失敗を経験したことがない者は、何も新しい事に挑戦したことがないということだ。,しっぱいをけいけんしたことがないものは、なにもあたらしいことにちょうせんしたことがないということだ。
現実,マハトマ・ガンジー,マハトマ・ガンジー,明日死ぬかのように生きよ。永遠に生きるかのように学べ。,あしたしぬかのようにいきよ。えいえんにいきるかのようにまなべ。
現実,フリードリヒ・ニーチェ,フリードリヒ・ニーチェ,自分を破壊する一歩手前の負荷が、自分を強くしてくれる。,じぶんをはかいするいっぽてまえのふかが、じぶんをつよくしてくれる。
現実,マイケル・ジョーダン,マイケル・ジョーダン,私は何度も何度も失敗した。だから成功したのだ。,わたしはなんどもなんどもしっぱいした。だからせいこうしたのだ。
現実,マザー・テレサ,マザー・テレサ,思考に気をつけなさい、それはいつか言葉になるから。,しこうにきをつけなさい、それはいつかことばになるから。
現実,岡本太郎,おかもとたろう,壁は、自分自身だ。,かべは、じぶんじしんだ。
現実,松下幸之助,まつしたこうのすけ,失敗したところでやめてしまうから失敗になる。成功するまで続けたら、それは成功になる。,しっぱいしたところでやめてしまうからしっぱいになる。せいこうするまでつづけたら、それはせいこうになる。
現実,本田宗一郎,ほんだそういちろう,成功は99%の失敗に支えられた1%だ。,せいこうは99%のしっぱいにささえられた1%だ。
現実,渋沢栄一,しぶさわえいいち,夢なき者は理想なし。理想なき者は信念なし。信念なき者は計画なし。,ゆめなきものはりそうなし。りそうなきものはしんねんなし。しんねんなきものはけいかくなし。
現実,イーロン・マスク,イーロン・マスク,何かが十分に重要であれば、たとえ確率が自分に不利であっても、それを実行するべきだ。,なにかがじゅうぶんにじゅうようであれば、たとえかくりつがじぶんにふりであっても、それをじっこうするべきだ。
現実,エイブラハム・リンカーン,エイブラハム・リンカーン,あなたが転んでしまったことに関心はない。そこからどう立ち上がるかに関心があるのだ。,あなたがころんでしまったことにかんしんはない。そこからどうたちあがるかにかんしんがあるのだ。
現実,ウィンストン・チャーチル,ウィンストン・チャーチル,決して、決して、決して、決して屈するな。,けっして、けっして、けっして、けっしてくっするな。
現実,ヘレン・ケラー,ヘレン・ケラー,ひとつの幸せのドアが閉じる時、もうひとつのドアが開く。,ひとつのしあわせのドアがとじるとき、もうひとつのドアがひらく。
現実,ブルース・リー,ブルース・リー,限界などない。停滞期があるだけだ。そこに留まってはいけない。それを超えて行くのだ。,げんかいなどない。ていたいきがあるだけだ。そこにとどまってはいけない。それをこえていくのだ。
現実,モハメド・アリ,モハメド・アリ,リスクを取る勇気がない者は、人生で何も達成できない。,リスクをとるゆうきがないものは、じんせいでなにもたっせいできない。
現実,ペレ,ペレ,成功は偶然ではない。勤勉、忍耐、練習、研究、謙遜、そして何よりも愛情だ。,せいこうはぐうぜんではない。きんべん、にんたい、れんしゅう、けんきゅう、けんそん、そしてなによりもあいじょうだ。
現実,ベーブ・ルース,ベーブ・ルース,諦めない奴を打ち負かすことはできない。,あきらめないやつをうちまかすことはできない。
現実,イチロー,イチロー,小さいことを重ねることが、とんでもないところに行くただひとつの道だ。,ちいさいことをかさねることが、とんでもないところにいくただひとつのみちだ。
現実,羽生善治,はぶよしはる,才能とは、情熱を持続させる能力のこと。,さいのうとは、じょうねつをじぞくさせるのうりょくのこと。
現実,ビル・ゲイツ,ビル・ゲイツ,成功を祝うのはいいが、失敗の教訓に注意を払う方がもっと重要だ。,せいこうをいわうのはいいが、しっぱいのきょうくんにちゅういをはらうほうがもっとじゅうようだ。
現実,マーク・ザッカーバーグ,マーク・ザッカーバーグ,最大のリスクは、リスクを取らないことだ。,さいだいのリスクは、リスクをとらないことだ。
現実,ジェフ・ベゾス,ジェフ・ベゾス,批判されたくないなら、新しいことは何もやらないことだ。,ひはんされたくないなら、あたらしいことはなにもやらないことだ。
現実,孫正義,そんまさよし,言い訳をしているうちは、絶対に前に進めない。,いいわけをしているうちは、ぜったいにまえにすすめない。
現実,ウィリアム・シェイクスピア,ウィリアム・シェイクスピア,運命は星が決めるのではない、我々自身が決めるのだ。,うんめいはほしがきめるのではない、われわれじしんがきめるのだ。
現実,マーク・トウェイン,マーク・トウェイン,やったことへの後悔は日々小さくなるが、やらなかったことへの後悔は日々大きくなる。,やったことへのこうかいはひびちいさくなるが、やらなかったことへのこうかいはひびおおきくなる。
現実,アーネスト・ヘミングウェイ,アーネスト・ヘミングウェイ,人間は負けるように造られてはいない。殺されることはあっても、負けることはない。,にんげんはまけるようにつくられてはいない。ころされることはあっても、まけることはない。
現実,マリー・キュリー,マリー・キュリー,人生において恐れるべきものは何もない。ただ理解すべきものがあるだけだ。,じんせいにおいておそれるべきものはなにもない。ただりかいすべきものがあるだけだ。
現実,アイザック・ニュートン,アイザック・ニュートン,私が遠くを見ることができたのは、巨人たちの肩に乗っていたからだ。,わたしがとおくをみることができたのは、きょじんたちのかたにのっていたからだ。
現実,ソクラテス,ソクラテス,世界を動かそうと思うなら、まず自分自身を動かせ。,せかいをうごかそうとおもうなら、まずじぶんじしんをうごかせ。
現実,プラトン,プラトン,始まりは、すべての仕事の中で最も重要な部分である。,はじまりは、すべてのしごとのなかでもっともじゅうようなぶぶんである。
現実,アリストテレス,アリストテレス,私たちは、繰り返し行っていることの結晶である。つまり優秀さとは行動ではなく習慣なのだ。,わたしたちは、くりかえしおこなっていることのけっしょうである。つまりゆうしゅうさとはこうどうではなくしゅうかんなのだ。
現実,孔子,こうし,止まりさえしなければ、どんなにゆっくり進んでも構わない。,とまりさえしなければ、どんなにゆっくりすすんでもかまわない。
現実,老子,ろうし,千里の道も一歩から。,せんりのみちもいっぽから。
現実,福沢諭吉,ふくざわゆきち,進まざる者は必ず退き、退かざる者は必ず進む。,すすまざるものはかならずしりぞき、しりぞかざるものはかならずすすむ。
現実,坂本龍馬,さかもとりょうま,世の人は我を何とも言わば言え。我が成す事は我のみぞ知る。,よのひとはわれをなんともいわばいえ。われがなすことはわれのみぞしる。
現実,吉田松陰,よしだしょういん,夢なき者に理想なし、理想なき者に計画なし、計画なき者に実行なし、実行なき者に成功なし。,ゆめなきものにりそうなし、りそうなきものにけいかくなし、けいかくなきものにじっこうなし、じっこうなきものにせいこうなし。
